Title,Description,Content,Category,Language,Source URL,Tags,Resource ID,Group ID,Department,Channels,Is Public,Status
Directory,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory,directory,,,MOSC Connect,Web,true,Published
Bishops,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/bishops,bishops,,,MOSC Connect,Web,true,Published
Church Dignitaries,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/church-dignitaries,church-dignitaries,,,MOSC Connect,Web,true,Published
Dioceses (Directory — Dioceses),Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/dioceses,dioceses,,,MOSC Connect,Web,true,Published
Institutions,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/institutions,institutions,,,MOSC Connect,Web,true,Published
Managing Committee,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/managing-committee,managing-committee,,,MOSC Connect,Web,true,Published
Parishes,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/parishes,parishes,,,MOSC Connect,Web,true,Published
Pilgrim Centres,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/pilgrim-centres,pilgrim-centres,,,MOSC Connect,Web,true,Published
Priests,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/priests,priests,,,MOSC Connect,Web,true,Published
Seminaries,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/seminaries,seminaries,,,MOSC Connect,Web,true,Published
Spiritual Organisations,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/spiritual-organisations,spiritual-organisations,,,MOSC Connect,Web,true,Published
Working Committee,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/directory/working-committee,working-committee,,,MOSC Connect,Web,true,Published
Downloads,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,Malankara Orthodox Syrian Church. Official website of the Malankara Orthodox Syrian Church - Saint Thomas Christian Community,General,English,https://www.mosc-temp.com/mosc-redesign/downloads,downloads,,,MOSC Connect,Web,true,Published
Application Forms,Taking Over Report For new trustees and parish secretaries Download Form Covering Note for Financial Statements Required submission with financial statements Download Form Personal Services Marriage Marga Nirdesha Form Marriage counseling and assistance application Download Form Medical Insurance Forms Church medical insurance scheme applications Download Form Financial & Compliance Church Financial Statements Format For institutions - year ended 31 March 2025 Download Form FCRA Statements Forei,"Application Forms Taking Over Report For new trustees and parish secretaries Download Form Covering Note for Financial Statements Required submission with financial statements Download Form Personal Services Marriage Marga Nirdesha Form Marriage counseling and assistance application Download Form Medical Insurance Forms Church medical insurance scheme applications Download Form Financial & Compliance Church Financial Statements Format For institutions - year ended 31 March 2025 Download Form FCRA Statements Foreign contributions reporting forms Download Form GST Related Forms Goods and Services Tax documentation Download Form How to Use These Forms 1. Download the required form in PDF format 2. Fill out all required fields accurately 3. Submit the completed form to the appropriate church office or diocese 4. For assistance, contact your parish office or diocesan administration Back to All Downloads",General,English,https://www.mosc-temp.com/mosc-redesign/downloads/application-forms,application-forms,,,MOSC Connect,Web,true,Published
Kalpana,The official annual calendar and directory of the Malankara Orthodox Syrian Church.,"Kalpana The official annual calendar and directory of the Malankara Orthodox Syrian Church. The Kalpana contains important liturgical dates, feast days, fasts, parish directories, and essential church information for the year. Available Editions Select a year to view or download the Kalpana edition Kalpana 2026 View Kalpana 2025 View Kalpana 2024 View Kalpana 2023 View Kalpana 2022 View Kalpana- 2021 View Kalpana 2020 View Kalpana- 2019 View Kalpana 2018 View Kalpana 2017 View Kalpana 2016 View Kalpana 2015 View About Kalpana The Kalpana is an indispensable resource for every Orthodox faithful, providing a comprehensive guide to the liturgical year and church administration. Each edition includes: Complete liturgical calendar with feast days and fasts Directory of parishes, priests, and church officials Important church announcements and guidelines Contact information for dioceses and institutions Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/downloads/kalpana,kalpana,,,MOSC Connect,Web,true,Published
Pdfs,"& Documents Official church circulars, guidelines, announcements, and important administrative documents.","Pdfs & Documents Official church circulars, guidelines, announcements, and important administrative documents. Church Accounts & Guidelines Church Accounts Manual Comprehensive manual for maintaining church accounts Guidelines for Preparing Church Accounts Step-by-step instructions for account preparation Malankara Association Malankara Association 2022-2027 Current term documents and information Association Secretary Election Election procedures and candidate lists Malankara Association Agenda Meeting agendas and nominated members list Educational Programs Merit Awards 2025 Information about merit award programs Educational Special Scholarship (EDS) Scholarship programs for students Mega Quiz Qualified List Results and qualified participants Church Administration Catholicate Day 2022 Catholicate Day celebration materials Supreme Court Judgement July 3, 2017 Important legal documents Tender Notices Official tender announcements Advertisements Church announcements and public notices Need Assistance? If you need help with any forms or have questions about submission procedures, please contact your diocesan office or the Catholicate administration at Devalokam. Back to All Downloads",General,English,https://www.mosc-temp.com/mosc-redesign/downloads/pdfs,pdfs,,,MOSC Connect,Web,true,Published
Photos,"Official photographs of saints, bishops, and church leaders for reference, veneration, and display.","Photos Official photographs of saints, bishops, and church leaders for reference, veneration, and display. ✝️ Saints Official photographs and icons of saints venerated in the Malankara Orthodox Syrian Church for display in churches and homes. View Photos 👤 Bishops Official photographs of current and former bishops, metropolitans, and hierarchs of the Church. View Photos Guidelines for Using Church Photos These official photographs are provided for appropriate use in churches, homes, and educational materials. Please observe the following: Photos of saints are for veneration and display in appropriate sacred spaces Bishop photographs should be treated with respect and dignity Do not alter or modify images without proper authorization For commercial use, please contact the Catholicate office for permission Back to All Downloads",General,English,https://www.mosc-temp.com/mosc-redesign/downloads/photos,photos,,,MOSC Connect,Web,true,Published
Prayer Books,Orthodox prayer books and liturgical texts for personal devotion and participation in the life of the Church.,"Prayer Books Orthodox prayer books and liturgical texts for personal devotion and participation in the life of the Church. Holy Week Gospel Readings Passion Week – Evangelion Gospel readings for Holy Week, the most sacred period in the Orthodox liturgical calendar. Available for Download Download PDF Using Prayer Books These prayer books are provided to help the faithful participate more fully in the liturgical life of the Church. They contain prayers, hymns, and readings for various services and occasions. We encourage all members to use these resources for personal devotion and to deepen their understanding of Orthodox worship. Back to All Downloads",General,English,https://www.mosc-temp.com/mosc-redesign/downloads/prayer-books,prayer-books,,,MOSC Connect,Web,true,Published
Downloads Old,"Downloads Home / Downloads Church resources, forms, publications, and documents available for download.","Downloads Home / Downloads Church resources, forms, publications, and documents available for download. Official Library Explorer Showing page 1 of 1 ( 0 files). Lower priority values are shown first. All categories No files available for the selected filters. Previous Next Church Resources local body Election winners award ceremony – Photos Download Catholicate Day Book Cover, Brochure Download Panjangom Download Download Photos Download Medical Insurance Download Kalpana Download Covering Note to be submitted along with financial statements Download Church Financial Statements format for the year ended 31March 2025 of MOSC Download Merit Evening 2025 Photos Download MALANKARA SABHA MAGAZINE Download EDUCATIONAL SPECIAL SCHOLARSHIP Download Merit Awards 2025 Download Marriage Marga Nirdesha Form Download Budget format 2025-26 Download GST Download Tenders Download Merit Evening 2024 PHOTOS Download Mega Quiz qualified list Download Charge handing over/taking over Report for new Trustees and Secretary of the Parish Download Account Statement Format Download അഖിലമലങ്കര മാർത്തോമൻ . പൈതൃക കലാസാഹിത്യ വൈജ്ഞാനിക മത്സരങ്ങൾ Download Malankara Association (2022 – 2027) Download Panjangom 2023 Download Panjangom 2022 Download ASSOCIATION SECRETARY ELECTION Download Catholicate Day 2022 Download Malankara Association 2022 Download Application Forms Download Malankara Association 2021 Download prayer Download Advertisement Download FCRA Statements Download Pratheeshetha Prameyam Download Church Accounts Manual Download Pdfs Download Supreme Court Judgement, July 3, 2017 Download Priest Directory Download Malankara Association : Association Secretary Election Final list 2017 Download Malankara Association 2017 – Agenda & Nominated Members List Download Malankara Association Candidates Final List 2017 Download Malankara Association Final list 2017 Download Ministry of Human Empowernment Download Guidelines for Preparing Church Accounts Download Prayer Books Download Foreign Contributions Download Online Resourses Download Photos Download Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/downloads-old,downloads-old,,,MOSC Connect,Web,true,Published
Application Forms (Downloads Old — Application Forms),Taking Over Report For new trustees and parish secretaries Download Form Covering Note for Financial Statements Required submission with financial statements Download Form Personal Services Marriage Marga Nirdesha Form Marriage counseling and assistance application Download Form Medical Insurance Forms Church medical insurance scheme applications Download Form Financial & Compliance Church Financial Statements Format For institutions - year ended 31 March 2025 Download Form FCRA Statements Forei,"Application Forms Taking Over Report For new trustees and parish secretaries Download Form Covering Note for Financial Statements Required submission with financial statements Download Form Personal Services Marriage Marga Nirdesha Form Marriage counseling and assistance application Download Form Medical Insurance Forms Church medical insurance scheme applications Download Form Financial & Compliance Church Financial Statements Format For institutions - year ended 31 March 2025 Download Form FCRA Statements Foreign contributions reporting forms Download Form GST Related Forms Goods and Services Tax documentation Download Form How to Use These Forms 1. Download the required form in PDF format 2. Fill out all required fields accurately 3. Submit the completed form to the appropriate church office or diocese 4. For assistance, contact your parish office or diocesan administration Back to All Downloads",General,English,https://www.mosc-temp.com/mosc-redesign/downloads-old/application-forms,application-forms,,,MOSC Connect,Web,true,Published
Kalpana (Downloads Old — Kalpana),The official annual calendar and directory of the Malankara Orthodox Syrian Church.,"Kalpana The official annual calendar and directory of the Malankara Orthodox Syrian Church. The Kalpana contains important liturgical dates, feast days, fasts, parish directories, and essential church information for the year. Available Editions Select a year to view or download the Kalpana edition Kalpana 2026 View Kalpana 2025 View Kalpana 2024 View Kalpana 2023 View Kalpana 2022 View Kalpana- 2021 View Kalpana 2020 View Kalpana- 2019 View Kalpana 2018 View Kalpana 2017 View Kalpana 2016 View Kalpana 2015 View About Kalpana The Kalpana is an indispensable resource for every Orthodox faithful, providing a comprehensive guide to the liturgical year and church administration. Each edition includes: Complete liturgical calendar with feast days and fasts Directory of parishes, priests, and church officials Important church announcements and guidelines Contact information for dioceses and institutions Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/downloads-old/kalpana,kalpana,,,MOSC Connect,Web,true,Published
Pdfs (Downloads Old — Pdfs),"& Documents Official church circulars, guidelines, announcements, and important administrative documents.","Pdfs & Documents Official church circulars, guidelines, announcements, and important administrative documents. Church Accounts & Guidelines Church Accounts Manual Comprehensive manual for maintaining church accounts Guidelines for Preparing Church Accounts Step-by-step instructions for account preparation Malankara Association Malankara Association 2022-2027 Current term documents and information Association Secretary Election Election procedures and candidate lists Malankara Association Agenda Meeting agendas and nominated members list Educational Programs Merit Awards 2025 Information about merit award programs Educational Special Scholarship (EDS) Scholarship programs for students Mega Quiz Qualified List Results and qualified participants Church Administration Catholicate Day 2022 Catholicate Day celebration materials Supreme Court Judgement July 3, 2017 Important legal documents Tender Notices Official tender announcements Advertisements Church announcements and public notices Need Assistance? If you need help with any forms or have questions about submission procedures, please contact your diocesan office or the Catholicate administration at Devalokam. Back to All Downloads",General,English,https://www.mosc-temp.com/mosc-redesign/downloads-old/pdfs,pdfs,,,MOSC Connect,Web,true,Published
Photos (Downloads Old — Photos),"Official photographs of saints, bishops, and church leaders for reference, veneration, and display.","Photos Official photographs of saints, bishops, and church leaders for reference, veneration, and display. ✝️ Saints Official photographs and icons of saints venerated in the Malankara Orthodox Syrian Church for display in churches and homes. View Photos 👤 Bishops Official photographs of current and former bishops, metropolitans, and hierarchs of the Church. View Photos Guidelines for Using Church Photos These official photographs are provided for appropriate use in churches, homes, and educational materials. Please observe the following: Photos of saints are for veneration and display in appropriate sacred spaces Bishop photographs should be treated with respect and dignity Do not alter or modify images without proper authorization For commercial use, please contact the Catholicate office for permission Back to All Downloads",General,English,https://www.mosc-temp.com/mosc-redesign/downloads-old/photos,photos,,,MOSC Connect,Web,true,Published
Prayer Books (Downloads Old — Prayer Books),Orthodox prayer books and liturgical texts for personal devotion and participation in the life of the Church.,"Prayer Books Orthodox prayer books and liturgical texts for personal devotion and participation in the life of the Church. Holy Week Gospel Readings Passion Week – Evangelion Gospel readings for Holy Week, the most sacred period in the Orthodox liturgical calendar. Available for Download Download PDF Using Prayer Books These prayer books are provided to help the faithful participate more fully in the liturgical life of the Church. They contain prayers, hymns, and readings for various services and occasions. We encourage all members to use these resources for personal devotion and to deepen their understanding of Orthodox worship. Back to All Downloads",General,English,https://www.mosc-temp.com/mosc-redesign/downloads-old/prayer-books,prayer-books,,,MOSC Connect,Web,true,Published
Ds Demo Dashboard,OVERVIEW Dashboard Overview Welcome to your analytics dashboard.,"OVERVIEW Dashboard Overview Welcome to your analytics dashboard. Monitor your performance metrics and track your growth. 124.5K Total Views +12.5% 8.2K Total Subscribers +8.3% 45.8K Total Likes -2.1% $12,450 Total Revenue +15.7% Performance Analytics 7 Days 30 Days 90 Days Chart visualization will appear here RECENT ACTIVITY Recent Content View All Title Type Views Status Date Introduction to Orthodox Faith Video 12,450 Published 2024-01-15 Weekly Sermon Series Video 8,920 Published 2024-01-14 Community News Update Article 5,340 Draft 2024-01-13 Liturgical Calendar Guide Article 3,210 Published 2024-01-12 « Previous 1 2 3 4 Next » Quick Actions Create Video View Analytics Promote Content Settings",General,English,https://www.mosc-temp.com/mosc-redesign/ds-demo-dashboard,ds-demo-dashboard,,,MOSC Connect,Web,true,Published
Ecumenical,The Department of Ecumenical Relations caters to the fraternal relations of the Church.,"Ecumenical The Department of Ecumenical Relations caters to the fraternal relations of the Church. The Church, being a founding member of the World Council of Churches, extends its warmth and cooperation to Christian communities worldwide. Ecumenical Relations & Dialogue Department of Ecumenical Relations The Department of Ecumenical Relations caters onto the fraternal relations of the Church. The Church, being a founding member of the World Council of Churches, extends its warmth and... Read More The Relation between Orthodox Churches The Malankara Orthodox Church has always tried to cooperate with the communities which encircled her absorbing the imitable things from them. From the very inception, she also cooperated with the... Read More Relationship with the Catholic Churches Pro Oriente, the Catholic organization was the inspiration behind the initiation of unofficial dialogues with the Catholic Church. The dialogues began in 1971 helped to correct many misunderstanding in both... Read More In Egypt with the Message of Fraternity His Holiness Baselios Marthoma Paulose II attended the enthronement service of Pope Tawadros II, the Supreme head of the Coptic Orthodox Church at St. Mark's Cathedral, Cairo on 18th March,... Read More The Shepherd of the Indian Church in Ethiopia Abune Mathias, the 63rd Ichege of the See of St. Tekle Haymanot and the 6th Patriarch Catholicos of Ethiopia was enthroned on 3rd March 2013 amidst prayers of millions of... Read More The Confluence of Love in Vatican The epoch making meeting between His Holiness Baselios Marthoma Paulose II, the Supreme Head of the Malankara Orthodox Church and His Holiness Pope Francis, the Supreme Head of the Catholic... Read More The Fraternity at Vienna His Holiness the Catholicos visited Vienna on 3rd September 2013 as the special invitee of Pro-Oriente. Pro-Oriente is the fellowship of all the Churches which use Syriac as the sacramental... Read More The relevant portions of the speech of His Holiness Baselios Marthoma Paulose II at the meeting with His Holiness Pope Francis at Vatican Your Holiness, most Venerable Brother in Christ, Praising the Triune God, let me humbly greet Your Holiness in the name of the Bishops. Clergy and the Faithful of the Malankara... Read More Relevant portions of the speech by His Holiness Pope Francis at the meeting with His Holiness Baselios Marthoma Paulose II at Vatican Your Holiness , It is a joy for me to meet Your Holiness and the distinguished delegation of the Malankara Orthodox Syrian Church. Through you, I greet a Church that... Read More ⛪ The Successor of St. Thomas in Europe A grand reception was accorded to His Holiness Baselios Marthoma Paulose II by the U. K. Europe Africa Diocese and the Lambeth Palace of the Anglican Church jointly on 9th... Read More ⛪ Co-operation with the Protestant Churches It is a fact that there is no healthy and lively talks between the Orthodox and CSI, Marthoma Churches. However, the Malankara Church has strong relations and cooperation with these... Read More ⛪ Ecumenical ventures in modern times His Holiness Baselios Marthoma Paulose II is also very keen to encourage ecumenical relations. Various ecclesiastical visits during a short span of time have paid rich dividends. A delegation led... Read More Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/ecumenical,ecumenical,,,MOSC Connect,Web,true,Published
Catholic Church,"Relationship with the Catholic Churches Pro Oriente, the Catholic organization was the inspiration behind the initiation of unofficial dialogues with the Catholic Church.","Catholic Church Relationship with the Catholic Churches Pro Oriente, the Catholic organization was the inspiration behind the initiation of unofficial dialogues with the Catholic Church. The dialogues began in 1971 helped to correct many misunderstanding in both sides. Many meetings between the Catholicoi of Malankara Orthodox Church and Popes of Catholic Church took place. The visits of His Holiness Baselios Augen I to Pope Paul VI in Bombay (1964), His Holiness Baselios Marthoma Mathews I to Pope John Paul II in Rome (1983) and later the visit of Pope John Paul II to His Holiness Baselios Marthoma Mathews I at Kottayam (1986) are highlights of this relationship. These mutual visits facilitated dialogues between the Malankara Orthodox Church and the Catholic Church in Kerala from 1989. These talks are still continuing every year. These dialogues with the Catholics helped a lot to explore and discover the common St. Thomas heritage of both the Churches and find out platforms where both can cooperate. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Ecumenical Relations Ecumenical Overview Department of Ecumenical Relations The Relation between Orthodox Churches Relationship with the Catholic Churches In Egypt with the Message of Fraternity The Shepherd of the Indian Church in Ethiopia The Confluence of Love in Vatican The Fraternity at Vienna The relevant portions of the speech of His Holiness Baselios Marthoma Paulose II at the meeting with His Holiness Pope Francis at Vatican Relevant portions of the speech by His Holiness Pope Francis at the meeting with His Holiness Baselios Marthoma Paulose II at Vatican The Successor of St. Thomas in Europe Co-operation with the Protestant Churches Ecumenical ventures in modern times Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/ecumenical/catholic-church,catholic-church,,,MOSC Connect,Web,true,Published
Catholicos Speech Vatican,"Catholicos Speech at Vatican Ecumenical / Catholicos Speech at Vatican Your Holiness, most Venerable Brother in Christ, Praising the Triune God, let me humbly greet Your Holiness in the name of the Bishops, Clergy and the Faithful of the Malankara Orthodox Syrian Church of India.","Catholicos Speech at Vatican Ecumenical / Catholicos Speech at Vatican Your Holiness, most Venerable Brother in Christ, Praising the Triune God, let me humbly greet Your Holiness in the name of the Bishops, Clergy and the Faithful of the Malankara Orthodox Syrian Church of India. I thank God for this occasion for us to meet each other in the first year of your blessed pontificate, in this city sanctified by the martyrdom of the holy Apostles Peter and Paul. People of goodwill everywhere are rejoicing in the gracious words of Your Holiness and the way in which you exemplify the pastoral ministry of Christ our Good Shepherd. Your Holiness. The Malankara Orthodox Church, faithfully rooted in the apostolic tradition of the holy Apostle Thomas in India, is committed to the true unity of our churches as willed by Jesus Christ our Lord and Saviour. In the broader frame of unity of all Christians, I have a special dream for the unity of Christians in the St Thomas tradition. Wherever possible and appropriate, we are willing to cooperate with our sister churches in ministering to the pastoral needs of the people, particularly the poor and the marginalised. Some of the present pastoral issues may be resolved on the basis of the common tradition that existed before the unfortunate division in the Indian church in the 16th century. Although Christians are a small minority in India and Asia in general we have the great task of witnessing to the life giving Gospel of Christ by caring for the poor and the downtrodden, by nurturing peace, justice and communal harmony and by working with and learning from the great spiritual-ethical traditions of India. In all this the Indian Catholic and Orthodox churches can fruitfully cooperate in the bond of love. My venerable Elder Brother in Christ, I gladly join Your Holiness in your deep prayer for peace in our world, especially in Syria, the Middle East, and Asia. With great joy and hope, we invite Your Holiness to visit India, and we offer our humble prayers to God our Father that your blessed ministry may continue to inspire our churches in the power of the Holy Spirit and bring new hope for humanity at large. Glory be to the Father, the Son and the Holy Spirit, One true God, now and for evermore. Amen. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Ecumenical Relations Ecumenical Overview Department of Ecumenical Relations The Relation between Orthodox Churches Relationship with the Catholic Churches In Egypt with the Message of Fraternity The Shepherd of the Indian Church in Ethiopia The Confluence of Love in Vatican The Fraternity at Vienna The relevant portions of the speech of His Holiness Baselios Marthoma Paulose II at the meeting with His Holiness Pope Francis at Vatican Relevant portions of the speech by His Holiness Pope Francis at the meeting with His Holiness Baselios Marthoma Paulose II at Vatican The Successor of St. Thomas in Europe Co-operation with the Protestant Churches Ecumenical ventures in modern times Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/ecumenical/catholicos-speech-vatican,catholicos-speech-vatican,,,MOSC Connect,Web,true,Published
Co Operation With The Protestant Churches,"Co-operation with the Protestant Churches Ecumenical / Co-operation with the Protestant Churches Co-operation with the Protestant Churches It is a fact that there is no healthy and lively talks between the Orthodox and CSI, Marthoma Churches.","Co-operation with the Protestant Churches Ecumenical / Co-operation with the Protestant Churches Co-operation with the Protestant Churches It is a fact that there is no healthy and lively talks between the Orthodox and CSI, Marthoma Churches. However, the Malankara Church has strong relations and cooperation with these churches as they share many things in common. These three Churches cooperate in the theological education. FFRRC (Federated Faculty for Research in Religion and Culture), the theological organization has helped to foster the relation among these Churches. Though we had certain dialogues with the Lutheran Church in the past, it is not very lively in recent years. Ecumenical ventures in modern times. His Holiness Baselios Marthoma Paulose II is also very keen to encourage ecumenical relations. Various ecclesiastical visits during a short span of time have paid rich dividends. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Ecumenical Relations Ecumenical Overview Department of Ecumenical Relations The Relation between Orthodox Churches Relationship with the Catholic Churches In Egypt with the Message of Fraternity The Shepherd of the Indian Church in Ethiopia The Confluence of Love in Vatican The Fraternity at Vienna The relevant portions of the speech of His Holiness Baselios Marthoma Paulose II at the meeting with His Holiness Pope Francis at Vatican Relevant portions of the speech by His Holiness Pope Francis at the meeting with His Holiness Baselios Marthoma Paulose II at Vatican The Successor of St. Thomas in Europe Co-operation with the Protestant Churches Ecumenical ventures in modern times Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/ecumenical/co-operation-with-the-protestant-churches,co-operation-with-the-protestant-churches,,,MOSC Connect,Web,true,Published
